album_id,album_title,link
69,[Led Zeppelin IV],https://www.youtube.com/watch?v=LlDZ0AFN5C0
70,The Stranger,https://www.youtube.com/watch?v=DglOd7Wdueg
71,Graceland,https://www.youtube.com/watch?v=l78j_NnB4FY
72,Superfly,https://www.youtube.com/watch?v=kJf31LHU98A&list=PLc60gkdW0bcH8Zz8UPMRubocxFbZCv-i-
73,Physical Graffiti,https://www.youtube.com/watch?v=EH6I31ev1GM
74,After the Gold Rush,https://www.youtube.com/watch?v=sSWxU-mirqg&list=PL3EIpxBmgN2zLUP7fqpmtp1LhGLAZNy4X
75,Star Time,https://www.youtube.com/watch?v=h1ST4HqajE8&list=PL4RiBnhiMy0IBYHXRnxff0khBr-5WghPR
76,Purple Rain,https://www.youtube.com/watch?v=gjpeL6aGJAI
77,Back in Black,https://www.youtube.com/watch?v=2-fR2rrmw3I
78,Otis Blue: Otis Redding Sings Soul,https://www.youtube.com/watch?v=IuZ94SA4vi4&list=PLL-NbN8uTOigpUKhk4bWIIVPhzjtxjCTj
79,Led Zeppelin II,https://www.youtube.com/watch?v=7T4LnsuB9Ms
80,Imagine,https://www.youtube.com/watch?v=5pQ9To3DMuo&list=PLr99rnVSBqGAVbJuudUbRFGl-S1PuYs-5
81,The Clash,https://www.youtube.com/watch?v=bFgpzVFHqBo
82,Harvest,https://www.youtube.com/watch?v=y97hY4djNHE
83,Axis: Bold as Love,https://www.youtube.com/watch?v=7rOeELO4v20&list=PLwl83FtM2x-etuMkEd-pChsAYtpn3h4Gy
84,I Never Loved a Man the Way I Love You,https://www.youtube.com/watch?v=9iayJ8u4Qew&list=PLCqS4xDDygMgpY9P3GJC5EPeioAQ_atro
85,Lady Soul,https://www.youtube.com/watch?v=5Souo79kh60
86,Born in the U.S.A.,https://www.youtube.com/watch?v=Z8yejyytX1c
87,The Wall,https://www.youtube.com/watch?v=r48BLz42NuI
88,At Folsom Prison,https://www.youtube.com/watch?v=GpZ-2HDJzFw
89,Dusty in Memphis,https://www.youtube.com/watch?v=qeFgLPLzlJc&list=PLEditHKlAe02el04DrHZBw3rsGS69AdMJ
90,Talking Book,https://www.youtube.com/watch?v=79s2VCKwRFk
91,Goodbye Yellow Brick Road,https://www.youtube.com/watch?v=3p_xAToFzck&list=PLUyhoB9KsCSIAP4zZ4ie2r-MkkEfyKphQ
92,20 Golden Greats,https://www.youtube.com/watch?v=7QeBLe9BTb4&list=PL22yevoIBQSG15RMAzZntor50zwEz0j31
93,"Sign ""Peace"" the Times",https://www.youtube.com/watch?v=---ytDIIb1E&list=PL6omk653ao_2ou9fMtaOZiCLQutOcHvG4
94,40 Greatest Hits,https://www.youtube.com/watch?v=mAuTdwYdkb8&list=PLCubXHRlW2x5qOm1F5vXHT_nDjP7b2uBP
95,Bitches Brew,https://www.youtube.com/watch?v=SbCt-iXIXlQ
96,Tommy,https://www.youtube.com/watch?v=txA_FXWX7Po
97,The Freewheelin' Bob Dylan,https://www.youtube.com/watch?v=RsBxqXHKFlU
98,This Year's Model,https://www.youtube.com/watch?v=Z_2_nO0zCF0&list=PLrpyDacBCh7Bk_CzVGs3Z5-CSihKjh4Ti
99,There's a Riot Goin' On,https://www.youtube.com/watch?v=uJZHm5_i1vI&list=PLrVoteC1udtGrfwYK1AcGJ3rGT8t1OPod
100,Odessey and Oracle,https://www.youtube.com/watch?v=0wHEMJmUpDo&list=PLRQKT-Cu2_2Szunt1sGCq3ofCn5e91iFq
101,In the Wee Small Hours,https://www.youtube.com/watch?v=jG-xqCmu2HM
102,Fresh Cream,https://www.youtube.com/watch?v=A1xQRagjuwg
103,Giant Steps,https://www.youtube.com/watch?v=CzZX5QkqdMs
104,Sweet Baby James,https://www.youtube.com/watch?v=fyoZLKgLcys&list=PLjb5kMzP2zomFl2kCnX1DysZmXEucxkvT
105,Modern Sounds in Country and Western Music,https://www.youtube.com/watch?v=TbrvtGta1lk&list=PLgWmP-F0RTPOl1OjguwDkKwjFFiMmQZs5
106,Rocket to Russia,https://www.youtube.com/watch?v=j3KzGpptn5Q
107,Portrait of a Legend 1951-1964,https://www.youtube.com/watch?v=dGQtL1l5i0Q&list=PLmzP977za2bJhrT6l_VMzZ9AXwEk1e1iG
108,Hunky Dory,https://www.youtube.com/watch?v=2a_hBAx3ioE
109,Aftermath,https://www.youtube.com/watch?v=ibfw5tIYMmc
110,Loaded,https://www.youtube.com/watch?v=AqVWBVbytXo&list=PLsQfpW7FBkHwJFQwZJyrQUGIS2nA38PDP
111,The Bends,https://www.youtube.com/watch?v=g0az4OkM02Y&list=PLI6kLIhBBwmRxi0gtMC-SYQP47Jmq-bHh
112,If You Can Believe Your Eyes and Ears,https://www.youtube.com/watch?v=kALz-UKSCIM
113,Court and Spark,https://www.youtube.com/watch?v=MvR7Dkg4NQU
114,Disraeli Gears,https://www.youtube.com/watch?v=YH7Z23xtmfg
115,The Who Sell Out,https://www.youtube.com/watch?v=Mjcp42Q0Xgg
116,Out of Our Heads,https://www.youtube.com/watch?v=rzzq-1_scto
117,Layla and Other Assorted Love Songs,https://www.youtube.com/watch?v=-KUjPBccSXY
118,Late Registration,https://www.youtube.com/watch?v=Gbsn6BcmXZo
119,At Last!,https://www.youtube.com/watch?v=boZKuumidpo&list=PLa3HlKFsnLvZ1vfFn34kcWJXsGevI_mPE
120,Sweetheart of the Rodeo,https://www.youtube.com/watch?v=d9uca85p_zw
121,Stand!,https://www.youtube.com/watch?v=1jP4Y3JRtoA
122,The Harder They Come,https://www.youtube.com/watch?v=Jg7qsW8qboE&list=PLTZBRO2GYAOgN-O1hfyf7RooI5AGHq88X
123,Raising Hell,https://www.youtube.com/watch?v=arLAYEr3baU
124,Moby Grape,https://www.youtube.com/watch?v=YcanG_FIdt0
125,Pearl,https://www.youtube.com/watch?v=fZGN3Ja0J60
126,Catch a Fire,https://www.youtube.com/watch?v=oakcwsdkqrA
127,Younger Than Yesterday,https://www.youtube.com/watch?v=5udZ0Hxcc5A
128,Raw Power,https://www.youtube.com/watch?v=Jft606E_vs4
129,Remain in Light,https://www.youtube.com/watch?v=8f3zmJ9vFOU
130,Marquee Moon,https://www.youtube.com/watch?v=7KvgP8MlEEE
